Date, Close/Last, Volume, Open, High, Low
09/07/2016,$155.64,2982909,$157.64,$157.87,$155.40
09/06/2016,$158.06,2715738,$158.13,$158.15,$156.02
09/02/2016,$157.98,2678993,$156.81,$159.28,$156.80
09/01/2016,$156.21,6036360,$159,$159,$155.54
08/31/2016,$162.09,1933921,$161.87,$162.57,$161.15
08/30/2016,$161.96,2010658,$164.07,$164.28,$161.74
08/29/2016,$163.98,1819224,$164.47,$164.84,$163.40
08/26/2016,$163.93,2009899,$165.39,$165.65,$163.47
08/25/2016,$164.86,1816762,$167.20,$167.41,$164.64
08/24/2016,$167.57,1363847,$167.14,$167.88,$166.76
08/23/2016,$167.36,1004099,$168.09,$168.45,$167.31
08/22/2016,$167.94,954977,$168.34,$168.69,$167.62
08/19/2016,$168.02,1764785,$167.21,$168.33,$167.10
08/18/2016,$167.75,1353380,$168.42,$168.71,$167.20
08/17/2016,$167.96,1382530,$167.45,$168.36,$166.92
08/16/2016,$168.41,1022989,$167.88,$168.80,$167.88
08/15/2016,$168.73,918331,$169.04,$169.27,$168.59
08/12/2016,$169.04,1399051,$167.16,$169.41,$167.16
08/11/2016,$167.88,1498050,$169.11,$169.59,$167.33
08/10/2016,$168.29,1101946,$167.44,$168.50,$167.05
08/09/2016,$167.86,1286679,$167.74,$168.60,$166.88
08/08/2016,$167.40,1294422,$167.25,$167.55,$166.47
08/05/2016,$167.70,1526568,$166.86,$168.33,$166.08
08/04/2016,$166.55,1637685,$166.04,$167.74,$165.89
08/03/2016,$166.12,1837709,$165.92,$166.33,$165.10
08/02/2016,$166.50,2107341,$167.07,$167.54,$164.59
08/01/2016,$167.56,986367,$167.15,$168,$166.90
07/29/2016,$167.22,1359352,$166.64,$167.68,$166.38
07/28/2016,$166.35,1866449,$166.26,$166.86,$165.80
07/27/2016,$166.15,1439994,$167.16,$167.50,$165.75
07/26/2016,$167.57,1593769,$167.60,$168.82,$166.70
07/25/2016,$167.97,1732224,$167.17,$168.20,$166.40
07/22/2016,$167.47,1334952,$167.68,$167.70,$166.96
07/21/2016,$167.05,1384551,$167.43,$167.75,$166.30
07/20/2016,$168.04,1336875,$168.25,$168.26,$166.95
07/19/2016,$168.12,1487476,$167.50,$168.56,$167.39
07/18/2016,$167.51,1993681,$166.56,$167.86,$165.92
07/15/2016,$166.41,1962408,$167.44,$167.44,$165.60
07/14/2016,$166.94,2149897,$167.15,$168,$166.28
07/13/2016,$166.78,1478570,$167,$167.19,$166.02
07/12/2016,$166.28,1644604,$166.49,$166.92,$165.82
07/11/2016,$166.72,2634019,$165.06,$167.49,$165.06
07/08/2016,$165.44,3931814,$164.84,$166.10,$164.49
07/07/2016,$163.70,6497677,$158.33,$164.16,$158
07/06/2016,$156.01,2133574,$155.20,$156.55,$154.67
07/05/2016,$155.25,2807400,$156.08,$156.15,$154.70
07/01/2016,$156.11,2317234,$157.19,$157.19,$155.40
06/30/2016,$157.04,3091121,$156.96,$157.82,$155.50
06/29/2016,$157.08,1942711,$156.44,$157.28,$155.89
06/28/2016,$155.60,2156085,$154.66,$155.93,$153.71
06/27/2016,$154.26,2793800,$154.24,$154.93,$152.55
06/24/2016,$155.56,3995643,$153.16,$157.69,$153.10
06/23/2016,$157.03,2911750,$158.60,$158.79,$156.34
06/22/2016,$158.12,2094477,$157.61,$158.42,$157.16
06/21/2016,$157.20,1828549,$157.07,$157.90,$156.66
06/20/2016,$156.48,2090831,$157.38,$158.38,$156.45
06/17/2016,$155.89,2856889,$157.03,$157.25,$155.76
06/16/2016,$156.42,1937573,$154.86,$156.50,$154.11
06/15/2016,$154.86,2226343,$155.70,$156.78,$154.66
06/14/2016,$155.87,3273277,$154.55,$156.36,$153.57
06/13/2016,$154.95,2576580,$154.76,$155.96,$154.57
06/10/2016,$154.87,3264014,$153,$155.15,$152.94
06/09/2016,$154.05,1812077,$153,$154.14,$152.92
06/08/2016,$153.37,1528103,$152.68,$153.47,$152.05
06/07/2016,$152.62,2112901,$152.08,$153.85,$151.90
06/06/2016,$152.24,1962091,$151.83,$152.49,$151.71
06/03/2016,$151.71,1964147,$150.30,$151.78,$150.27
06/02/2016,$151.51,3957334,$150.05,$151.51,$148.55
06/01/2016,$152.52,3487229,$150.50,$153,$150.32
05/31/2016,$148.77,3738447,$149.57,$149.88,$147.63
05/27/2016,$149.08,3349272,$150.24,$150.77,$148.11
05/26/2016,$149.71,7678192,$149.01,$153.88,$147.70
05/25/2016,$144.54,4163266,$142.62,$145.68,$142.51
05/24/2016,$142.57,2811190,$142.57,$143.48,$142.38
05/23/2016,$142.01,1828219,$142.84,$144,$141.91
05/20/2016,$142.69,2088385,$142.73,$143.50,$142.02
05/19/2016,$142.70,2829486,$142.45,$143.08,$141.42
05/18/2016,$141.29,5716092,$140.18,$141.66,$138.57
05/17/2016,$143.60,2928825,$145.50,$146.24,$143.22
